,SUBJECT,SNR,CHOICE,TALKER,RESULT
443,1,-9.0,natural,2,0
444,1,-9.0,natural,2,1
445,1,-3.0,synthesized,2,0
446,1,-3.0,synthesized,2,1
447,1,-3.0,synthesized,2,1
448,1,-3.0,synthesized,2,1
449,1,0.0,natural,3,1
450,1,0.0,natural,3,1
451,1,0.0,natural,3,1
452,1,0.0,natural,3,0
453,1,0.0,synthesized,3,0
454,1,0.0,synthesized,3,1
455,1,0.0,synthesized,3,0
456,1,0.0,synthesized,3,1
457,1,-6.0,synthesized,0,1
458,1,-6.0,synthesized,0,1
459,1,-6.0,synthesized,0,0
460,1,-6.0,synthesized,0,0
461,1,-6.0,synthesized,0,0
462,1,-9.0,audio-only,3,0
463,1,-9.0,audio-only,3,0
464,1,-9.0,audio-only,3,0
465,1,-9.0,audio-only,3,0
466,1,-6.0,audio-only,0,1
467,1,-6.0,audio-only,0,0
468,1,-6.0,audio-only,0,0
469,1,-6.0,audio-only,0,0
470,1,-6.0,audio-only,0,0
471,1,-9.0,synthesized,3,0
472,1,-9.0,synthesized,3,0
473,1,-9.0,synthesized,3,1
474,1,-9.0,synthesized,3,0
475,1,0.0,synthesized,0,1
476,1,0.0,synthesized,0,1
477,1,0.0,synthesized,0,1
478,1,0.0,synthesized,0,1
479,1,-9.0,natural,3,1
480,1,-9.0,natural,3,1
481,1,-9.0,natural,3,1
482,1,-9.0,natural,3,1
483,1,-3.0,audio-only,1,1
484,1,-3.0,audio-only,1,0
485,1,-3.0,audio-only,1,1
486,1,-3.0,audio-only,1,1
487,1,-9.0,synthesized,2,0
488,1,-9.0,synthesized,2,0
489,1,-9.0,synthesized,2,0
490,1,-9.0,synthesized,2,0
491,1,-3.0,natural,2,1
492,1,-3.0,natural,2,1
493,1,-3.0,natural,2,1
494,1,-3.0,natural,2,1
495,1,-6.0,synthesized,1,0
496,1,-6.0,synthesized,1,1
497,1,-6.0,synthesized,1,1
498,1,-6.0,synthesized,1,0
499,1,0.0,natural,2,1
500,1,0.0,natural,2,1
501,1,0.0,natural,2,1
502,1,0.0,natural,2,0
503,1,0.0,natural,2,1
504,1,-6.0,natural,0,0
505,1,-6.0,natural,0,0
506,1,-6.0,natural,0,0
507,1,-6.0,natural,0,0
508,1,-6.0,natural,0,0
509,1,-6.0,audio-only,0,0
510,1,-6.0,audio-only,0,0
511,1,-6.0,audio-only,0,0
512,1,-6.0,audio-only,0,0
513,1,-9.0,audio-only,2,0
514,1,-9.0,audio-only,2,0
515,1,-9.0,audio-only,2,0
516,1,-9.0,audio-only,2,0
517,1,0.0,audio-only,2,0
518,1,0.0,audio-only,2,1
519,1,0.0,audio-only,2,1
520,1,-3.0,synthesized,1,0
521,1,-3.0,synthesized,1,0
522,1,-3.0,synthesized,1,1
523,1,-3.0,synthesized,1,0
524,1,-3.0,natural,1,1
525,1,-3.0,natural,1,1
526,1,-3.0,natural,1,1
527,1,-3.0,natural,1,0
528,1,-6.0,synthesized,2,1
529,1,-6.0,synthesized,2,1
530,1,-6.0,synthesized,2,0
531,1,-6.0,synthesized,2,0
532,1,0.0,synthesized,1,1
533,1,0.0,synthesized,1,1
534,1,0.0,synthesized,1,1
535,1,0.0,synthesized,1,1
536,1,-6.0,natural,2,1
537,1,-6.0,natural,2,1
538,1,-6.0,natural,2,1
539,1,-9.0,natural,0,0
540,1,-9.0,natural,0,1
541,1,-9.0,natural,0,1
542,1,-9.0,natural,0,1
543,1,-9.0,natural,0,1
544,1,0.0,natural,0,1
545,1,0.0,natural,0,1
546,1,0.0,natural,0,1
547,1,0.0,natural,0,1
548,1,-3.0,synthesized,1,1
549,1,-3.0,synthesized,1,1
550,1,-3.0,synthesized,1,1
551,1,0.0,audio-only,0,1
552,1,0.0,audio-only,0,1
553,1,0.0,audio-only,0,1
554,1,0.0,audio-only,0,1
555,1,-9.0,synthesized,0,1
556,1,-9.0,synthesized,0,0
557,1,-9.0,synthesized,0,0
558,1,-9.0,synthesized,0,1
559,1,-3.0,audio-only,2,0
560,1,-3.0,audio-only,2,1
561,1,-3.0,audio-only,2,1
562,1,-3.0,audio-only,2,0
563,1,-6.0,audio-only,2,1
564,1,-6.0,audio-only,2,1
565,1,-6.0,audio-only,2,1
566,1,-9.0,audio-only,0,0
567,1,-9.0,audio-only,0,0
568,1,-9.0,audio-only,0,0
569,1,-9.0,audio-only,0,0
570,1,-6.0,audio-only,3,0
571,1,-6.0,audio-only,3,0
572,1,-6.0,audio-only,3,0
573,1,-6.0,audio-only,3,0
574,1,-3.0,natural,0,1
575,1,-3.0,natural,0,1
576,1,-3.0,natural,0,1
577,1,-6.0,synthesized,1,1
578,1,-6.0,synthesized,1,1
579,1,-6.0,synthesized,1,1
580,1,-6.0,synthesized,1,1
581,1,-6.0,synthesized,1,1
582,1,-9.0,audio-only,2,0
583,1,-9.0,audio-only,2,0
584,1,-9.0,audio-only,2,0
585,1,-9.0,audio-only,2,0
586,1,-9.0,audio-only,2,0
587,1,-3.0,audio-only,0,0
588,1,-3.0,audio-only,0,1
589,1,-3.0,audio-only,0,0
590,1,-3.0,audio-only,0,0
591,1,-3.0,synthesized,1,1
592,1,-3.0,synthesized,1,1
593,1,-3.0,synthesized,1,1
594,1,0.0,natural,0,1
595,1,0.0,natural,0,1
596,1,0.0,natural,0,1
597,1,0.0,audio-only,1,1
598,1,0.0,audio-only,1,1
599,1,0.0,audio-only,1,1
600,1,0.0,audio-only,1,0
601,1,-9.0,synthesized,3,0
602,1,-9.0,synthesized,3,0
603,1,-9.0,synthesized,3,0
604,1,0.0,synthesized,2,1
605,1,0.0,synthesized,2,1
606,1,0.0,synthesized,2,1
607,1,0.0,synthesized,2,1
608,1,-9.0,natural,3,0
609,1,-9.0,natural,3,0
610,1,-9.0,natural,3,0
611,1,-9.0,natural,3,0
612,1,-6.0,natural,3,1
613,1,-6.0,natural,3,0
614,1,-6.0,natural,3,1
615,1,-6.0,natural,3,1
616,1,-3.0,natural,2,1
617,1,-3.0,natural,2,0
618,1,-3.0,natural,2,1
619,1,-3.0,natural,2,1
620,1,-6.0,audio-only,1,0
621,1,-6.0,audio-only,1,1
622,1,-6.0,audio-only,1,0
623,1,-6.0,audio-only,1,0
624,1,-6.0,audio-only,1,0
625,1,-9.0,synthesized,0,0
626,1,-9.0,synthesized,0,0
627,1,-9.0,synthesized,0,1
628,1,-9.0,synthesized,0,1
629,1,-9.0,audio-only,1,0
630,1,-9.0,audio-only,1,0
631,1,-9.0,audio-only,1,0
632,1,-9.0,audio-only,1,0
633,1,0.0,synthesized,2,1
634,1,0.0,synthesized,2,0
635,1,0.0,synthesized,2,0
636,1,-6.0,natural,1,1
637,1,-6.0,natural,1,1
638,1,-6.0,natural,1,0
639,1,0.0,audio-only,1,1
640,1,0.0,audio-only,1,1
641,1,0.0,audio-only,1,1
642,1,0.0,audio-only,1,0
643,1,-9.0,natural,2,0
644,1,-9.0,natural,2,0
645,1,-9.0,natural,2,1
646,1,-9.0,natural,2,0
647,1,-3.0,synthesized,2,0
648,1,-3.0,synthesized,2,1
649,1,-3.0,synthesized,2,0
650,1,-3.0,synthesized,2,1
651,1,-3.0,audio-only,2,1
652,1,-3.0,audio-only,2,1
653,1,-3.0,audio-only,2,1
654,1,0.0,natural,1,1
655,1,0.0,natural,1,1
656,1,0.0,natural,1,1
657,1,0.0,natural,1,1
658,1,-6.0,synthesized,2,1
659,1,-6.0,synthesized,2,1
660,1,-6.0,synthesized,2,1
661,1,-6.0,synthesized,2,0
662,1,0.0,natural,0,1
663,1,0.0,natural,0,1
664,1,0.0,natural,0,1
665,1,-9.0,audio-only,1,0
666,1,-9.0,audio-only,1,0
667,1,-9.0,audio-only,1,0
668,1,-6.0,natural,0,0
669,1,-6.0,natural,0,0
670,1,-6.0,natural,0,0
671,1,-6.0,natural,0,1
672,1,-6.0,audio-only,3,0
673,1,-6.0,audio-only,3,1
674,1,-6.0,audio-only,3,0
675,1,-6.0,audio-only,3,0
676,1,0.0,audio-only,0,1
677,1,0.0,audio-only,0,1
678,1,0.0,audio-only,0,1
679,1,-6.0,synthesized,2,0
680,1,-6.0,synthesized,2,0
681,1,-6.0,synthesized,2,0
682,1,-6.0,synthesized,2,0
683,1,-3.0,natural,0,0
684,1,-3.0,natural,0,0
685,1,-3.0,natural,0,1
686,1,-3.0,synthesized,0,0
687,1,-3.0,synthesized,0,1
688,1,-3.0,synthesized,0,1
689,1,-3.0,synthesized,0,0
690,1,-3.0,audio-only,2,1
691,1,-3.0,audio-only,2,1
692,1,-3.0,audio-only,2,0
693,1,-3.0,audio-only,2,1
694,1,-9.0,synthesized,1,0
695,1,-9.0,synthesized,1,0
696,1,-9.0,synthesized,1,0
697,1,-9.0,synthesized,1,0
698,1,-9.0,natural,1,1
699,1,-9.0,natural,1,1
700,1,-9.0,natural,1,1
701,1,-9.0,natural,1,1
702,1,0.0,synthesized,1,0
703,1,0.0,synthesized,1,1
704,1,0.0,synthesized,1,1
705,1,0.0,synthesized,1,1
706,1,0.0,synthesized,1,1
707,2,-9.0,natural,1,0
708,2,-9.0,natural,1,1
709,2,-9.0,natural,1,1
710,2,-9.0,natural,1,1
711,2,-9.0,synthesized,2,1
712,2,-9.0,synthesized,2,1
713,2,-9.0,synthesized,2,0
714,2,-3.0,natural,2,1
715,2,-3.0,natural,2,1
716,2,-3.0,natural,2,0
717,2,-3.0,natural,2,0
718,2,-6.0,synthesized,0,1
719,2,-6.0,synthesized,0,1
720,2,-6.0,synthesized,0,1
721,2,-6.0,synthesized,0,1
722,2,-6.0,synthesized,0,1
723,2,-6.0,audio-only,3,0
724,2,-6.0,audio-only,3,1
725,2,-6.0,audio-only,3,0
726,2,-6.0,audio-only,3,0
727,2,-6.0,audio-only,3,0
728,2,-9.0,audio-only,1,0
729,2,-9.0,audio-only,1,0
730,2,-9.0,audio-only,1,0
731,2,-9.0,audio-only,1,0
732,2,-3.0,synthesized,3,0
733,2,-3.0,synthesized,3,1
734,2,-3.0,synthesized,3,1
735,2,-3.0,synthesized,3,0
736,2,-3.0,synthesized,3,0
737,2,-3.0,audio-only,0,1
738,2,-3.0,audio-only,0,1
739,2,-3.0,audio-only,0,1
740,2,-6.0,natural,1,1
741,2,-6.0,natural,1,0
742,2,-6.0,natural,1,0
743,2,-6.0,natural,1,0
744,2,0.0,synthesized,1,0
745,2,0.0,synthesized,1,1
746,2,0.0,synthesized,1,0
747,2,0.0,audio-only,3,0
748,2,0.0,audio-only,3,0
749,2,0.0,audio-only,3,1
750,2,0.0,audio-only,3,1
751,2,0.0,natural,0,1
752,2,0.0,natural,0,1
753,2,0.0,natural,0,1
754,2,-6.0,natural,2,1
755,2,-6.0,natural,2,1
756,2,-6.0,natural,2,1
757,2,-6.0,natural,2,1
758,2,-6.0,synthesized,1,1
759,2,-6.0,synthesized,1,1
760,2,-6.0,synthesized,1,1
761,2,-6.0,synthesized,1,1
762,2,-6.0,audio-only,1,0
763,2,-6.0,audio-only,1,0
764,2,-6.0,audio-only,1,0
765,2,0.0,natural,0,1
766,2,0.0,natural,0,1
767,2,0.0,natural,0,1
768,2,0.0,natural,0,1
769,2,-3.0,natural,0,1
770,2,-3.0,natural,0,1
771,2,-3.0,natural,0,1
772,2,-3.0,natural,0,0
773,2,-3.0,audio-only,1,0
774,2,-3.0,audio-only,1,0
775,2,-3.0,audio-only,1,0
776,2,-3.0,audio-only,1,1
777,2,0.0,audio-only,1,1
778,2,0.0,audio-only,1,1
779,2,0.0,audio-only,1,1
780,2,0.0,audio-only,1,1
781,2,0.0,audio-only,1,1
782,2,0.0,synthesized,2,1
783,2,0.0,synthesized,2,1
784,2,0.0,synthesized,2,1
785,2,0.0,synthesized,2,1
786,2,-9.0,synthesized,3,0
787,2,-9.0,synthesized,3,0
788,2,-9.0,synthesized,3,0
789,2,-9.0,synthesized,3,0
790,2,-9.0,synthesized,3,0
791,2,-9.0,natural,0,1
792,2,-9.0,natural,0,0
793,2,-9.0,natural,0,0
794,2,-9.0,audio-only,2,0
795,2,-9.0,audio-only,2,1
796,2,-9.0,audio-only,2,0
797,2,-9.0,audio-only,2,0
798,2,-3.0,synthesized,2,0
799,2,-3.0,synthesized,2,0
800,2,-3.0,synthesized,2,0
801,2,-6.0,natural,3,1
802,2,-6.0,natural,3,0
803,2,-6.0,natural,3,0
804,2,-6.0,natural,3,0
805,2,-3.0,synthesized,2,0
806,2,-3.0,synthesized,2,0
807,2,-3.0,synthesized,2,1
808,2,-3.0,synthesized,2,1
809,2,-6.0,synthesized,1,1
810,2,-6.0,synthesized,1,1
811,2,-6.0,synthesized,1,1
