,SUBJECT,SNR,CHOICE,TALKER,RESULT
382,7,-3,synthesized,3,0
383,7,-3,synthesized,3,0
384,7,-9,synthesized,3,0
385,7,-9,synthesized,3,0
386,7,-9,synthesized,3,0
387,7,-9,synthesized,3,0
388,7,-9,synthesized,3,0
389,7,0,synthesized,3,0
390,7,0,synthesized,3,0
391,7,0,synthesized,3,0
392,7,0,synthesized,3,0
393,7,0,audio-only,1,1
394,7,0,audio-only,1,1
395,7,0,audio-only,1,1
396,7,0,audio-only,1,1
397,7,0,natural,3,1
398,7,0,natural,3,1
399,7,0,natural,3,1
400,7,-9,natural,3,1
401,7,-9,natural,3,0
402,7,-9,natural,3,1
403,7,-9,audio-only,0,1
404,7,-9,audio-only,0,1
405,7,-9,audio-only,0,1
406,7,-9,audio-only,0,1
407,7,-6,natural,1,0
408,7,-6,natural,1,1
409,7,-6,natural,1,1
410,7,-6,natural,1,1
411,7,-6,synthesized,2,0
412,7,-6,synthesized,2,0
413,7,-6,synthesized,2,0
414,7,-6,audio-only,1,0
415,7,-6,audio-only,1,0
416,7,-6,audio-only,1,1
417,7,-6,audio-only,1,1
418,7,-3,audio-only,3,0
419,7,-3,audio-only,3,0
420,7,-3,audio-only,3,0
421,7,-3,audio-only,3,0
422,7,-3,natural,3,0
423,7,-3,natural,3,1
424,7,-3,natural,3,1
425,7,-3,natural,3,1
426,7,-6,natural,2,0
427,7,-6,natural,2,0
428,7,-6,natural,2,0
429,7,-6,natural,2,1
430,7,-9,natural,2,0
431,7,-9,natural,2,0
432,7,-9,natural,2,0
433,7,-9,natural,2,1
434,7,0,audio-only,1,0
435,7,0,audio-only,1,0
436,7,0,audio-only,1,1
437,7,0,audio-only,1,1
438,7,0,audio-only,1,0
439,7,-6,audio-only,3,0
440,7,-6,audio-only,3,0
441,7,-6,audio-only,3,0
442,7,0,natural,3,1
443,7,0,natural,3,1
444,7,0,natural,3,1
445,7,0,natural,3,1
446,7,-3,synthesized,0,0
447,7,-3,synthesized,0,1
448,7,-3,synthesized,0,1
449,7,-3,synthesized,0,0
450,7,-6,synthesized,2,0
451,7,-6,synthesized,2,1
452,7,-6,synthesized,2,1
453,7,-6,synthesized,2,0
454,7,-3,natural,3,1
455,7,-3,natural,3,1
456,7,-3,natural,3,1
457,7,-3,natural,3,1
458,7,0,synthesized,2,1
